id,title,genres,release_date,revenue,budget,country
19912,The Final Destination,Horror|Mystery,2009.0,186167139,40000000,United States of America
44826,Hugo,Adventure|Drama|Family,2011.0,185770160,170000000,France
13183,Watchmen,Action|Mystery|Science Fiction,2009.0,185258983,130000000,United States of America
76757,Jupiter Ascending,Science Fiction|Fantasy|Action|Adventure,2015.0,183987723,176000003,United States of America
50359,Hop,Animation|Comedy|Family,2011.0,183953723,63000000,United Kingdom
376659,Bad Moms,Comedy,2016.0,183936074,20000000,United States of America
267935,The BFG,Adventure|Family|Fantasy,2016.0,183345589,140000000,India
14560,Paul Blart: Mall Cop,Action|Adventure|Comedy|Family,2009.0,183293131,26000000,United States of America
62764,Mirror Mirror,Adventure|Fantasy|Drama|Comedy|Science Fiction|Family,2012.0,183018522,85000000,United States of America
80278,The Impossible,Thriller|Drama,2012.0,180274123,42000000,United States of America
76493,The Dictator,Comedy,2012.0,179379533,65000000,United States of America
262504,Allegiant,Adventure|Science Fiction,2016.0,179246868,110000000,United States of America
13027,Eagle Eye,Mystery|Thriller|Action,2008.0,178066569,80000000,United States of America
57212,War Horse,Drama|War,2011.0,177584879,66000000,United States of America
41436,Paranormal Activity 2,Horror|Thriller,2010.0,177512032,3000000,United States of America
10184,He's Just Not That Into You,Comedy|Romance|Drama,2009.0,177259441,40000000,Netherlands
65057,The Descendants,Comedy|Drama,2011.0,177243185,20000000,United States of America
120467,The Grand Budapest Hotel,Comedy|Drama,2014.0,174600318,30000000,United Kingdom
76285,Percy Jackson: Sea of Monsters,Adventure|Family|Fantasy,2013.0,174578751,90000000,United States of America
109431,Identity Thief,Comedy|Crime,2013.0,173965010,35000000,United States of America
49530,In Time,Action|Thriller|Science Fiction,2011.0,173930596,40000000,United States of America
109443,Anchorman 2: The Legend Continues,Comedy,2013.0,173649015,50000000,United States of America
312221,Creed,Drama,2015.0,173567581,37000000,United States of America
19899,Couples Retreat,Comedy|Romance,2009.0,171844840,70000000,United States of America
7191,Cloverfield,Action|Thriller|Science Fiction,2008.0,170764026,25000000,United States of America
27581,The Other Guys,Action|Comedy|Crime,2010.0,170432927,100000000,United States of America
9029,What Happens in Vegas,Comedy|Romance,2008.0,170000000,35000000,United States of America
