rank,title,studio,lifetime_gross,year
5564,Hunt for the Wilderpeople,Orch.,5205468,2016
5570,The Girl Who Kicked the Hornet's Nest,MBox,5190196,2010
5579,The Company You Keep,SPC,5133027,2013
5586,Biutiful,RAtt.,5101237,2011
5594,Bleed for This,ORF,5083906,2016
5597,Action Point,Par.,5059608,2018
5602,Beirut,BST,5019226,2018
5604,Your Name.,FUN,5017246,2017
5605,Broken Embraces,SPC,5014305,2009
5607,Moon,SPC,5010163,2009
5610,I Am Love,Magn.,5005465,2010
5618,Gringo,STX,4969853,2018
5622,20 Feet from Stardom,RTWC,4946445,2013
5627,The Apparition,WB,4936819,2012
5638,Hamlet 2,Focus,4886216,2008
5642,Dilwale,UTV,4871263,2015
5650,90 Minutes in Heaven,Gold.,4842699,2015
5655,Mao's Last Dancer,Gold.,4817770,2010
5658,Incarnate,BH Tilt,4799774,2016
5666,In the Name of the King: A Dungeon Siege Tale,Free,4775656,2008
5667,Absolutely Fabulous: The Movie,FoxS,4772155,2016
5678,Samson,PFR,4719928,2018
5679,True Story,FoxS,4719695,2015
5681,Hands of Stone,Wein.,4712792,2016
5687,Suffragette,Focus,4702420,2015
5688,College,MGM,4694636,2008
5700,Atlas Shrugged: Part I,RM,4627375,2011
5715,Deception (2008),Fox,4598506,2008
5721,Snowpiercer,RTWC,4563650,2014
5731,Miss March,FoxS,4543320,2009
5736,The Book of Henry,Focus,4504974,2017
5747,Anonymous,Sony,4463292,2011
5750,Bright Star,App.,4444637,2009
5751,Flash of Genius,Uni.,4442377,2008
5752,The Company Men,Wein.,4441272,2011
5753,Barney's Version (U.S. only),SPC,4439201,2011
5754,The Railway Man,Wein.,4438438,2014
5757,The Way,PDA,4430765,2011
5762,"Food, Inc.",Magn.,4417674,2009
5763,Don't Think Twice,TFA,4417667,2016
5766,Dear White People,RAtt.,4404154,2014
5774,Seven Days in Utopia,Visio,4373074,2011
5778,Prem Ratan Dhan Payo,FIP,4364639,2015
5779,Solitary Man,Anch.,4360548,2010
5788,Gotti,VE,4343227,2018
5793,Much Ado About Nothing (2013),RAtt.,4328849,2013
5796,Inside Job,SPC,4312735,2010
5807,"Jeff, Who Lives at Home",ParV,4269426,2012
5808,The Meddler,SPC,4267218,2016
5809,Ae Dil Hai Mushkil,FIP,4264983,2016
5812,45 Years,IFC,4247285,2015
5817,The Lunchbox,SPC,4235151,2014
5818,Greenberg,Focus,4234170,2010
5828,A Hologram for the King,RAtt.,4212494,2016
5829,Stronger,RAtt.,4211129,2017
5831,Swiss Army Man,A24,4210454,2016
5837,The Water Diviner,WB,4196641,2015
5843,Goon,Magn.,4168528,2012
5846,Witless Protection,LGF,4161625,2008
5850,Good Hair,RAtt.,4157223,2009
5852,Blindspotting,LG/S,4145289,2018
5853,Bully (2012),Wein.,4142648,2012
5861,The Raid: Redemption,SPC,4105187,2012
5867,Bottle Shock,Free,4078607,2008
5868,The Hero,Orch.,4077333,2017
5871,Denial,BST,4073489,2016
5874,Frances Ha,IFC,4069826,2013
5882,Buck,IFC,4038912,2011
5884,Please Give,SPC,4033574,2010
5886,Irrational Man,SPC,4030360,2015
5887,My Name is Khan,FoxS,4018771,2010
5889,My Old Lady,Cohen,4013786,2014
5892,Safety Not Guaranteed,FD,4010957,2012
5900,Young@Heart,FoxS,3992189,2008
5903,Sleight,BH Tilt,3986245,2017
5911,Mr. Turner,SPC,3958500,2014
5913,Of Gods and Men,SPC,3954651,2011
5916,Charlie Bartlett,MGM,3951699,2008
5924,Morgan,Fox,3915251,2016
5927,Shame,FoxS,3909002,2011
5928,Kabali,CineGalaxy,3903095,2016
5930,A United Kingdom,FoxS,3902185,2017
5935,The Man Who Knew Infinity,IFC,3866794,2016
5945,Yeh Jawaani Hai Deewani,Eros,3827466,2013
5946,Where to Invade Next,Drft.,3827261,2016
5947,Ida,MBox,3827060,2014
5951,The September Issue,RAtt.,3820067,2009
5952,Max Steel,ORF,3818664,2016
5954,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,SPC,3814868,2017
5968,Sgt. Stubby: An American Hero,FunAcad,3782328,2018
5970,To Save a Life,Gold.,3777210,2010
5972,Batman: The Killing Joke,Fathom,3775000,2016
5975,Fading Gigolo,MNE,3769873,2014
5978,The Class,SPC,3766810,2008
5981,The Cold Light of Day,LG/S,3763583,2012
5982,Anomalisa,Par.,3759286,2015
5983,Friend Request,ENTMP,3759078,2017
5988,A Monster Calls,Focus,3740823,2016
5991,Then She Found Me,Think,3735717,2008
5997,Midnight Special,WB,3712282,2016
6000,Scouts Guide to the Zombie Apocalypse,Par.,3703046,2015
6002,Searching for Sugar Man,SPC,3696196,2012
6009,Don 2,Relbig.,3680306,2011
6016,Rules Don't Apply,Fox,3652206,2016
6020,A La Mala,LGF,3629842,2015
6023,Spare Parts,LGF,3618912,2015
6024,Table 19,FoxS,3614896,2017
6026,Their Finest,STX,3603484,2017
6030,Phoenix Forgotten,CLF,3600146,2017
6031,Calvary,FoxS,3600006,2014
6034,We Are Your Friends,WB,3591417,2015
6035,Wish I Was Here,Focus,3591299,2014
6041,Elegy,Gold.,3581642,2008
6045,The Runaways,App.,3573673,2010
6059,The Brothers Bloom,Sum.,3531756,2009
6063,Pina,IFC,3524826,2011
6066,Happy-Go-Lucky,Mira.,3512016,2008
6068,The Oscar Nominated Short Films 2018,Shrts.,3508777,2018
6069,Miss Sloane,EC,3500605,2016
6071,An Inconvenient Sequel: Truth to Power,Par.,3496795,2017
6072,Mommy,RAtt.,3494070,2014
6074,What If (2014),CBS,3493000,2014
6075,The To-Do List,CBS,3491669,2013
6079,Disobedience,BST,3480702,2018
6080,A Man Called Ove,MBox,3479315,2016
6082,What We Do in the Shadows,U/P,3469224,2015
6084,Til Death Do Us Part,NN,3455267,2017
6085,First Reformed,A24,3448256,2018
6087,Learning to Drive,BG,3447633,2015
6090,Jodhaa Akbar,UTV,3440718,2008
6093,Bad Samaritan,Electric,3435047,2018
6095,The Grand Seduction,EOne,3430018,2014
6096,Metallica Through the Never,PH,3419967,2013
6102,Indignation,RAtt.,3401155,2016
6103,Everybody Wants Some!!,Par.,3400278,2016
6105,Like Crazy,ParV,3395391,2011
6110,Nitro Circus the Movie 3D,ArcEnt,3377618,2012
6115,Blindness,Mira.,3351751,2008
6116,Maggie's Plan,SPC,3351735,2016
6119,Emperor,RAtt.,3346265,2013
6123,Atlas Shrugged: Part II,ADC,3336053,2012
6128,Last Ounce of Courage,RM,3329674,2012
6130,7 Days in Entebbe,Focus,3326885,2018
6132,Robot & Frank,Gold.,3325038,2012
6134,Veronica Mars,WB,3322127,2014
6137,Stand Up Guys,LGF,3310031,2013
6142,Exit Through the Gift Shop,PDA,3291250,2010
6153,Raees,Zee,3262954,2017
6156,The Fifth Estate,BV,3255008,2013
6157,You Will Meet a Tall Dark Stranger,SPC,3248246,2010
6159,Before I Go To Sleep,CE,3242457,2014
6161,Catfish,Rog.,3237343,2010
6162,Sing Street,Wein.,3237118,2016
6163,The Mermaid (Mei ren yu),Sony,3232685,2016
6164,The Leisure Seeker,SPC,3226443,2017
6169,Green Room,A24,3220371,2016
6174,Another Year,SPC,3205706,2010
6176,The Skin I Live In,SPC,3185812,2011
6177,Phoenix (2015),IFC,3184472,2015
6183,The Eagle Huntress,SPC,3169351,2016
6184,I've Loved You So Long,SPC,3169305,2008
6187,Our Kind of Traitor,RAtt.,3153157,2016
6190,Two Lovers,Magn.,3149034,2009
6193,Rosewater,ORF,3128941,2014
6194,Compadres,PNT,3127773,2016
6198,Obvious Child,A24,3123963,2014
6206,Zindagi Na Milegi Dobara,Eros,3108485,2011
6210,Wild Tales,SPC,3106530,2015
6217,Celeste and Jesse Forever,SPC,3094813,2012
6221,"Synecdoche, New York",SPC,3083538,2008
6225,Chloe,SPC,3075255,2010
6230,Dil Dhadakne Do,Eros,3066100,2015
6232,Ladrones,LGF,3063505,2015
6237,The Band's Visit,SPC,3054457,2008
6242,Jab Tak Hai Jaan,Yash,3047539,2012
6243,Tanu Weds Manu Returns,Eros,3044347,2015
6247,From Prada to Nada,LGF,3033623,2011
6248,Melancholia,Magn.,3030848,2011
6249,Colossal,Neon,3029287,2017
6250,Ingrid Goes West,Neon,3024308,2017
6252,Rock The Kasbah,ORF,3020664,2015
6254,Albert Nobbs,RAtt.,3014696,2012
6258,The End of the Tour,A24,3002884,2015
6259,The Other Side of the Door,Fox,3000342,2016
6263,Whitney,RAtt.,2999340,2018
6266,Martha Marcy May Marlene,FoxS,2990625,2011
6270,Thoroughbreds,Focus,2976330,2018
6272,Anthropoid,BST,2964845,2016
6273,In a World,RAtt.,2963902,2013
6275,Man on Wire,Magn.,2962242,2008
6278,A.X.L.,Global Road,2939356,2018
6283,Joan Rivers: A Piece of Work,IFC,2930687,2010
6284,The Beatles: Eight Days a Week - The Touring Years,Abr.,2930414,2016
6285,Choke,FoxS,2926565,2008
6297,Pandas,WB,2892597,2018
6300,The Trip to Italy,IFC,2880537,2014
6304,Talaash,Relbig.,2871956,2012
6310,Home Run,Gold.,2861020,2013
6312,American Animals,Orch.,2853807,2018
6314,The Great Beauty,Jan.,2852400,2013
6315,Filly Brown,LGF,2850357,2013
6318,Letters to God,Viv.,2848578,2010
6320,The Oscar Nominated Short Films 2017,Shrts.,2835355,2017
6322,Kedi,Osci.,2835047,2017
6325,The Identical,Free,2827666,2014
6326,The Fluffy Movie,ORF,2827393,2014
6332,2016 Oscar Nominated Short Films,Shrts.,2816816,2016
6340,Barfi!,UTV,2804874,2012
6342,Citizenfour,RTWC,2800870,2014
6348,Kirk Cameron's Saving Christmas,Gold.,2783970,2014
6350,La Boda de Valentina,PNT,2783739,2018
6352,How to Lose Friends and Alienate People,MGM,2778752,2008
6357,The Pyramid,Fox,2756333,2014
6365,Ram-Leela,Eros,2738863,2013
6368,The Good Lie,WB,2722209,2014
6369,Wolf Warrior 2,HC,2721100,2017
6370,My Cousin Rachel,FoxS,2716368,2017
6371,Cheri,Mira.,2715657,2009
6374,Everything Must Go,RAtt.,2711643,2011
6376,Youth,FoxS,2703296,2015
6378,The Way Back,NM,2701859,2011
6389,Ip Man 3,WGUSA,2679437,2016
6392,Samsara,Osci.,2672413,2012
6394,He Named Me Malala,FoxS,2668936,2015
6396,Bharat Ane Nenu,GrtIndia,2663090,2018
6397,Easy Virtue,SPC,2656784,2009
6399,Chi-Raq,RAtt.,2653032,2015
6406,The Raid 2,SPC,2627209,2014
6410,Mayweather vs. McGregor,Fathom,2620183,2017
6411,Under the Skin (2014),A24,2614251,2014
6412,Miles Ahead,SPC,2610896,2016
6414,Girl in Progress,LGF,2609412,2012
6416,Kapoor & Sons - Since 1921,FIP,2607036,2016
6418,N'Secure,Free,2595644,2010
6419,The Admiral: Roaring Currents,CJ,2589811,2014
6421,A Question Of Faith,PFR,2587072,2017
6423,Captive (2015),Par.,2583301,2015
6429,Is Genesis History?,Fathom,2570392,2017
6436,Dragon Ball Z: Battle of Gods,SV,2553002,2014
6438,Jiro Dreams of Sushi,Magn.,2552478,2012
6439,Carnage (2011),SPC,2547047,2011
6441,Bang Bang,FIP,2546172,2014
6443,Newsies: The Broadway Musical,Fathom,2545060,2017
6446,Truth,SPC,2541854,2015
6447,Ruby Sparks,FoxS,2540106,2012
6448,Sin Nombre,Focus,2536665,2009
6450,In Our Hands: The Battle for Jerusalem,Fathom,2534370,2017
6451,Hazlo Como Hombre (Do It Like An Hombre),PNT,2534252,2017
6453,Bucky Larson: Born to Be a Star,Sony,2529395,2011
6455,You Were Never Really Here,Amazon,2528078,2018
6458,Dabangg 2,Eros,2519190,2012
6461,RA One,Eros,2511689,2011
6462,Frozen River,SPC,2511476,2008
6465,Grace Unplugged,RAtt.,2507201,2013
6468,Mistress America,FoxS,2500431,2015
6481,My One and Only,Free,2479538,2009
6483,Kick,UTV,2472695,2014
6484,LBJ,Electric,2470979,2017
6487,Tulip Fever,Wein.,2455635,2017
6490,The Sapphires,Wein.,2450867,2013
6491,Kill the Messenger,Focus,2450846,2014
6499,Pawn Sacrifice,BST,2436633,2015
6501,Never Let Me Go,FoxS,2434652,2010
6504,The Grace Card,Gold.,2430735,2011
6505,Ghajini,AdL.,2430627,2008
6506,Love Aaj Kal,Eros,2430083,2009
6507,The Homesman,Saban,2429989,2014
6509,The Disappointments Room,Rela.,2423468,2016
6512,Mary and the Witch's Flower,GK,2418404,2018
6514,The Gatekeepers,SPC,2415727,2013
6518,2015 Oscar Nominated Short Films,Shrts.,2412593,2015
6527,The Salesman,Cohen,2402067,2017
6528,T2: Trainspotting,TriS,2402004,2017
6529,The Queen of Versailles,Magn.,2401999,2012
6530,Pokemon the Movie: I Choose You!,Fathom,2401722,2017
6533,Hillsong - Let Hope Rise,PFR,2394386,2016
6536,In the Loop,IFC,2388804,2009
6537,I'm In Love With a Church Girl,HTR,2387730,2013
6538,Twilight/New Moon Combo (one-night-only),Sum.,2385237,2010
6541,Hearts Beat Loud,G&S,2380133,2018
6542,The Rider,SPC,2378516,2018
6545,Dear Zindagi,Relbig.,2376479,2016
6550,Ek Tha Tiger,Yash,2347774,2012
6553,Redbelt,SPC,2345941,2008
6554,No (2013),SPC,2343664,2013
6555,Elle,SPC,2341534,2016
6559,Jeepers Creepers 3,Scre.,2335162,2017
6560,Meru,MBox,2334228,2015
6563,Trance,FoxS,2328743,2013
6571,A Aa,BSC,2313043,2016
6573,WARx2,WARX2,2310625,2015
6576,The Resurrection of Gavin Stone ,BH Tilt,2303792,2017
6578,The East,FoxS,2301839,2013
6579,Ode to My Father,CJ,2300121,2014
6581,Fan,Yash,2300000,2016
6584,Renoir,Gold.,2293798,2013
6585,The Killing of a Sacred Deer,A24,2291901,2017
6592,Waltz with Bashir,SPC,2283849,2008
6596,Collide,ORF,2280004,2017
6600,Adam,FoxS,2277396,2009
6606,The Fall,RAtt.,2266905,2008
6607,Sleepwalk with Me,IFC,2266067,2012
6608,Love is Strange,SPC,2262223,2014
6613,The Christmas Candle,ELS,2258620,2013
6618,My All American,CE,2246000,2015
6619,2 States,UTV,2238174,2014
6620,The Illusionist (2010),SPC,2231474,2010
6622,Rabbit Hole,LGF,2229058,2010
6624,Le Week-End,MBox,2225098,2014
6627,The White Ribbon,SPC,2222862,2009
6632,Transsiberian,First,2206405,2008
6639,Blue Is the Warmest Color,IFC,2199787,2013
6644,The Lovers,A24,2194521,2017
6646,Oldboy (2013),FD,2193658,2013
6648,Krrish 3,Eros,2191534,2013
6650,Jem and the Holograms,Uni.,2184640,2015
6656,2014 Oscar Nominated Short Films,Shrts.,2171849,2014
6657,Words and Pictures,RAtt.,2171257,2014
6659,Priceless,Gold.,2165188,2008
6662,Singh Is Kinng,Stu18,2159376,2008
6663,Austenland,SPC,2159041,2013
6667,Un Padre No Tan Padre,PNT,2156047,2017
6670,Paterson,BST,2152738,2016
6673,The Saratov Approach,Purd.,2146999,2013
6675,2013 Oscar Nominated Short Films,Shrts.,2142342,2013
6677,Brad's Status,Annapurna,2133158,2017
6678,Train to Busan,WGUSA,2129768,2016
6683,Let the Right One In (2008),Magn.,2122065,2008
6688,Gloria (2014),RAtt.,2107925,2014
6700,A Prophet (Un prophète),SPC,2087720,2010
6705,I'm Not Ashamed,PFR,2082980,2016
6711,Rab Ne Bana Di Jodi,Yash,2078956,2008
6713,The Wackness,SPC,2077116,2008
6717,Blackfish,Magn.,2073582,2013
6719,Incendies (U.S. only),SPC,2071334,2011
6723,Tamasha,UTV,2065487,2015
6727,Rust and Bone,SPC,2062027,2012
6743,"I Love You, Phillip Morris",RAtt.,2037459,2010
6748,The Trip (2011),IFC,2030962,2011
6750,Is Anybody There?,StIs.,2026756,2009
6751,Good Time,A24,2026499,2017
6752,The Immigrant,Wein.,2025328,2014
6754,A Bigger Splash,FoxS,2024099,2016
6758,The Dressmaker,BG,2022115,2016
6761,A Fantastic Woman,SPC,2020988,2018
6771,Monsieur Lazhar (U.S.-only),MBox,2009517,2012
6772,Footnote,SPC,2007758,2012
6775,The Handmaiden,Magn.,2006788,2016
6780,Desierto,STX,2002036,2016
6782,Greater,Ham,2000093,2016
6784,Met Opera: Tosca,Fathom,2000000,2018
6788,Badrinath Ki Dulhania,FIP,1993259,2017
6791,Killer Joe,LD,1987762,2012
6792,Agneepath,Eros,1986748,2012
6796,Detective Chinatown 2,WB,1983984,2018
6798,Demolition,FoxS,1978592,2016
6800,The Iceman (2013),MNE,1969193,2013
6808,Cake,CLF,1951776,2015
6819,Pope Francis - A Man of His Word,Focus,1928560,2018
6824,Shin Godzilla,FUN,1918403,2016
6826,Everybody Loves Somebody,PNT,1915789,2017
6827,Old Fashioned,Free,1914090,2015
6829,Along with the Gods: The Two Worlds,WGUSA,1908823,2017
6830,Assassination (2015),WGUSA,1904682,2015
6838,Game of Thrones (IMAX),WB,1896092,2015
6840,Youth (2017),CL,1891956,2017
6841,The Mighty Macs,QM,1891936,2011
6846,Only Lovers Left Alive,SPC,1879534,2014
6850,Met Opera: La Bohème (2018),Fathom,1875000,2018
6851,Legend,Uni.,1872994,2015
6856,A Quiet Passion,MBox,1865396,2017
6858,English Vinglish,Eros,1862086,2012
6860,Roman de Gare,Gold.,1852764,2008
6865,Clouds of Sils Maria,IFC,1851517,2015
6868,Henry Poole Is Here,Over.,1836515,2008
6870,Bodyguard,Relbig.,1834384,2011
6871,Crooked Arrows,BPE,1832541,2012
6872,Toilet: Ek Prem Katha,Relbig.,1830715,2017
6875,Rudo Y Cursi,SPC,1827660,2009
6876,Tusk,A24,1826705,2014
6881,Testament of Youth,SPC,1822250,2015
6885,Harry Brown,Gold.,1818681,2010
6889,Stone,Over.,1810078,2010
6891,Hysteria,SPC,1804139,2012
6892,The Wall,RAtt.,1803064,2017
6893,Piku,Yash,1801807,2015
6894,M.S. Dhoni: The Untold Story,FIP,1801550,2016
6895,Free Fire,A24,1799312,2017
6901,Housefull 2,Eros,1791780,2012
6904,Somewhere,Focus,1785645,2010
6905,Son of Rambow,ParV,1785505,2008
6906,The Vatican Tapes,LGF,1784763,2015
6907,The Last Word,BST,1783421,2017
6912,Son of Saul,SPC,1777043,2015
6914,Fill the Void,SPC,1775316,2013
6922,A Better Life,Sum.,1759252,2011
6924,Flipped,WB,1755212,2010
6925,Valentino: The Last Emperor,Truly,1755134,2009
6935,Busco Novio Para Mi Mujer,PNT,1741889,2016
6938,We Need to Talk About Kevin,Osci.,1738692,2011
6940,Billy Lynn's Long Halftime Walk,TriS,1738477,2016
6943,Goodbye Christopher Robin,FoxS,1735251,2017
6949,Take Shelter,SPC,1730296,2011
6952,Harry Potter IMAX Marathon,Imax,1729226,2016
6954,Girl Rising,Gathr,1727259,2013
6956,Every Little Step,SPC,1725141,2009
6959,Jane (2017),Abr.,1723379,2017
6964,The Attack,Cohen,1720325,2013
6965,Stoker,FoxS,1714221,2013
6971,"To Joey, with Love",Fathom,1709073,2016
6976,Menashe,A24,1703036,2017
6977,Unfinished Song,Wein.,1702668,2013
6978,2012 Oscar Nominated Short Films,Shrts.,1702415,2012
6980,Bad Lieutenant: Port of Call New Orleans,First,1702112,2009
6982,Meet the Patels,Alc,1700681,2015
6987,Race 3,Yash,1690861,2018
6990,Slamma Jamma,RivR,1687000,2017
6991,Kites,Relbig.,1685269,2010
6998,Weiner,IFC,1676108,2016
7001,Tim's Vermeer,SPC,1671377,2014
7002,Pad Man,Sony,1670192,2018
7004,Jab Harry Met Sejal,Yash,1664648,2017
7006,The Comedian,SPC,1659002,2016
7007,Summer Hours,IFC,1657001,2009
7011,Jolly Llb 2,FIP,1654254,2017
7012,Back to the Future Day,UHE,1650000,2015
7014,The Letters,Free,1647416,2015
7015,The Little Hours,G&S,1647175,2017
7016,Battle for Terra,LGF,1647083,2009
7017,I Saw the Light,SPC,1646788,2016
7025,Bhaag Milkha Bhaag,Relbig.,1636731,2013
7026,Your Sister's Sister,IFC,1636190,2012
7028,Love is All You Need,SPC,1631709,2013
7032,Coco Chanel & Igor Stravinsky,SPC,1621226,2010
7034,Potiche,MBox,1618844,2011
7038,Senna,PDA,1612430,2011
7039,It Might Get Loud,SPC,1610163,2009
7042,Equity,SPC,1605463,2016
7044,Cairo Time,IFC,1603616,2010
7046,Stories We Tell,RAtt.,1600145,2013
7048,Farewell My Queen,Cohen,1597998,2012
7050,A Ghost Story,A24,1596371,2017
7052,I Am,Pala.,1591034,2011
7053,"New York, I Love You",Viv.,1588015,2009
7055,Neerja,FIP,1585687,2016
7058,Professor Marston & the Wonder Women,Annapurna,1584759,2017
7059,Race 2,UTV,1579940,2013
7060,The Stray,Purd.,1579440,2017
7062,Gomorrah,IFC,1579146,2008
7068,Genesis: Paradise Lost,Fathom,1575000,2017
7074,A Late Quartet,EOne,1562546,2012
7076,Persecuted,MNE,1558836,2014
7080,Bless Me Ultima,Aren,1553826,2013
7084,A Royal Affair,Magn.,1546761,2012
7087,Operation Red Sea,WGUSA,1543547,2018
7091,Awake: The Life of Yogananda,CF&SR,1539680,2014
7093,Fed Up,RTWC,1538899,2014
7097,Delhi Belly,UTV,1532594,2011
7102,A Taxi Driver,WGUSA,1527829,2017
7105,Sword Art Online: The Movie - Ordinal Scale,Elev.,1522976,2017
7106,Inhumans,Imax,1521787,2017
7109,Kon-Tiki,Wein.,1517410,2013
7112,The Double Hour,Gold.,1514942,2011
7113,Finding Vivian Maier,IFC,1514782,2014
7114,Raajneeti,UTV,1514558,2010
7116,Jane Got a Gun,Wein.,1513793,2016
7118,Bill Cunningham New York,Zeit.,1510026,2011
7119,Married Life,SPC,1507990,2008
7120,The Square,Magn.,1502347,2017
7126,Priceless (2016),RAtt.,1499605,2016
7128,Departures,Reg.,1498210,2009
7130,Che,IFC,1497109,2008
7136,Julieta,SPC,1490948,2016
7137,Mully,Fathom,1489771,2017
7140,Toni Erdmann,SPC,1479387,2016
7143,The Diary of a Teenage Girl,SPC,1477002,2015
7145,The Joneses,RAtt.,1475746,2010
7149,Kid With a Bike,IFC,1470000,2012
7154,Nowhere Boy,Wein.,1457248,2010
7159,I (2015),AaF,1449232,2015
7160,Pride (2014),CBS,1446634,2014
7161,Kambakkht Ishq,Eros,1445739,2009
7167,Disconnect,LD,1436900,2013
7169,"Two Days, One Night",IFC,1436243,2014
7177,Judwaa 2,FIP,1431255,2017
7179,Infinitely Polar Bear,SPC,1430655,2015
7180,The Art of Getting By,FoxS,1430241,2011
7181,I Hope They Serve Beer in Hell,Free,1429299,2009
7185,Finding Your Feet,RAtt.,1418682,2018
7188,Mr. Six,CL,1415450,2015
7191,Don't Worry He Won't Get Far on Foot,Amazon,1414798,2018
7192,Marley,Magn.,1413480,2012
7194,The Wedding Plan,RAtt.,1412404,2017
7195,99 Homes,BG,1411927,2015
7200,Wonder Wheel,Amazon,1404061,2017
7203,Saving Private Perez,LGF,1400726,2011
7209,X Games 3D The Movie,BV,1391434,2009
7210,Welcome Back,Eros,1388365,2015
7216,Girl Most Likely,RAtt.,1378591,2013
7217,Locke,A24,1375769,2014
7218,Certified Copy,IFC,1373975,2011
7222,I'm So Excited,SPC,1368119,2013
7224,Race,UTV,1367024,2008
7226,My Friend Dahmer,FR,1361611,2017
7227,The Devil's Double,LGF,1361512,2011
7228,Genius,RAtt.,1361045,2016
7229,Gimme Shelter,RAtt.,1359910,2014
7231,Force Majeure,Magn.,1359497,2014
7234,The Secrets of Jonathan Sperry,5&2,1355079,2009
7238,2011 Oscar Shorts,Shrts.,1352152,2011
7241,The Cokeville Miracle,Excel,1348456,2015
7242,Snow Flower and the Secret Fan,FoxS,1348205,2011
7243,Wadjda (U.S. only),SPC,1347747,2013
7246,102 Not Out,Sony,1343797,2018
7247,The Salt of the Earth,SPC,1343349,2015
7250,"No Eres Tu, Soy Yo",LGF,1339911,2011
7252,The Little Prince,EOne,1339152,2016
7258,The Neon Demon,BG,1333124,2016
7260,The Past,SPC,1331747,2013
7262,Restrepo,NGE,1330894,2010
7263,Embrace of the Serpent,Osci.,1329249,2016
7266,Chasing Ice,SD,1328467,2012
7269,The Ultimate Life,HTR,1327149,2013
7270,Housefull 3,Eros,1326999,2016
7274,The Dinner,Orch.,1323312,2017
7275,Another Earth,FoxS,1321194,2011
7278,Baaghi 2,FIP,1319579,2018
7287,The Kings of Summer,CBS,1315590,2013
7290,Iris (2015),Magn.,1310678,2015
7293,Air Racers 3D,3D,1309987,2012
7298,Personal Shopper,IFC,1305195,2017
7303,Lost in Hong Kong,WGUSA,1302281,2015
7305,The Wolfpack,Magn.,1301696,2015
7309,Met Opera: Cendrillon,Fathom,1300000,2018
7312,Funny Games,WIP,1294919,2008
7314,Goodbye Mr. Loser,CL,1293626,2015
7317,Kaminey,UTV,1291827,2009
7320,Dabangg,Eros,1288549,2010
7322,The Other Son,Cohen,1285918,2012
7325,Churchill,Cohen,1281258,2017
7328,The Sense of an Ending,CBS,1274420,2017
7329,Paper Heart,Over.,1274062,2009
7332,'71,RAtt.,1270847,2015
7340,Jai Ho,Eros,1264515,2014
7341,Mohenjo Daro,UTV,1264339,2016
7346,Micmacs,SPC,1262079,2010
7348,Chonda Pierce: Enough,Fathom,1260116,2017
7353,The Seagull,SPC,1252960,2018
7354,Gonzo,Magn.,1252100,2008
7355,"For a Good Time, Call... ",Focus,1251749,2012
7356,An Interview with God,Fathom,1251044,2018
7360,3 Idiotas,PNT,1249233,2017
7368,Dostana,Yash,1243910,2008
7369,Mojin: The Lost Legend,WGUSA,1243810,2015
7371,Take This Waltz,Magn.,1239692,2012
7381,Beyond the Mask,Gathr,1236094,2015
7382,The Invisible Woman,SPC,1234254,2013
7384,Singham Returns,Eros,1232018,2014
7386,True to the Game,Faith Media,1231040,2017
7388,Steve McQueen: American Icon,Fathom,1229782,2017
7391,Cocktail (2012),Eros,1227789,2012
7394,Child 44,LG/S,1224330,2015
7406,Bol Bachchan,FIP,1216258,2012
7411,Woman Thou Art Loosed!: On the 7th Day,Code,1213128,2012
7415,Puzzle,SPC,1209538,2018
7418,Inequality for All,RTWC,1205273,2013
7420,The Women's Balcony,Men.,1200885,2017
7421,Veteran,CJ,1200627,2015
7422,"Beats, Rhymes & Life: The Travels of a Tribe Called Quest",SPC,1200326,2011
7423,Flawless (2008),Magn.,1200234,2008
7425,Headhunters,Magn.,1200010,2012
7426,Met Opera: Semiramide,Fathom,1200000,2018
7427,"4 Months, 3 Weeks, 2 Days",IFC,1198208,2008
7433,Me and Orson Welles,Free,1190003,2009
7436,Repentance,LGF,1189612,2014
7438,Kill the Irishman,Anch.,1188194,2011
7440,Dylan Dog: Dead of Night,OMNI/FSR,1186538,2011
7441,Lazer Team,Ampl.,1186426,2016
7442,Remember (Canada Release),EOne,1184564,2015
7444,Housefull,Eros,1183658,2010
7449,Goodnight Mommy,RTWC,1178196,2015
7451,The Music of Strangers,Orch.,1176781,2016
7456,Black Sea,Focus,1171559,2015
7458,Met Opera: L'Elisir d'Amore (2018),Fathom,1170000,2018
7460,The Remaining,Triu,1169603,2014
7461,The Lords of Salem,Anch.,1165882,2013
7465,Vaxxed: From Cover-Up to Catastrophe,CLS,1163265,2016
7466,Lean on Pete,A24,1163056,2018
7467,Miss You Already,RAtt.,1162653,2015
7468,Romeo and Juliet (2013),Rela.,1162635,2013
7475,Still Mine,Gold.,1159336,2013
7477,The Trip to Spain,IFC,1157604,2017
7478,Where Hope Grows,RAtt.,1156000,2015
7479,Ek Main Aur Ekk Tu,UTV,1155545,2012
7481,Step (2017),FoxS,1154982,2017
7488,Papillon (2018),BST,1150750,2018
7491,Dough,Men.,1148304,2016
7498,"Yoo-Hoo, Mrs. Goldberg",ICir,1134623,2009
7500,Golmaal 3,Eros,1132192,2010
7504,Lady Macbeth,RAtt.,1129408,2017
7505,The Deep Blue Sea,MBox,1126525,2012
7508,The Whistleblower,Gold.,1124966,2011
